codigo,municipio,capitulo_cid10,internacoes
350640,BILAC,Cap 10,71.0
350640,BILAC,Cap 11,13.0
350640,BILAC,Cap 12,4.0
350640,BILAC,Cap 13,1.0
350640,BILAC,Cap 14,31.0
350640,BILAC,Cap 15,4.0
350640,BILAC,Cap 18,5.0
350640,BILAC,Cap 19,27.0
350650,BIRIGUI,Cap 01,171.0
350650,BIRIGUI,Cap 02,6.0
350650,BIRIGUI,Cap 03,98.0
350650,BIRIGUI,Cap 04,70.0
350650,BIRIGUI,Cap 05,3.0
350650,BIRIGUI,Cap 06,29.0
350650,BIRIGUI,Cap 07,1.0
350650,BIRIGUI,Cap 08,8.0
350650,BIRIGUI,Cap 09,352.0
350650,BIRIGUI,Cap 10,610.0
350650,BIRIGUI,Cap 11,608.0
350650,BIRIGUI,Cap 12,130.0
350650,BIRIGUI,Cap 13,60.0
350650,BIRIGUI,Cap 14,343.0
350650,BIRIGUI,Cap 15,1311.0
350650,BIRIGUI,Cap 16,68.0
350650,BIRIGUI,Cap 17,5.0
350650,BIRIGUI,Cap 18,57.0
350650,BIRIGUI,Cap 19,943.0
350650,BIRIGUI,Cap 21,27.0
350670,BOA ESPERANCA DO SUL,Cap 01,14.0
350670,BOA ESPERANCA DO SUL,Cap 03,5.0
350670,BOA ESPERANCA DO SUL,Cap 04,10.0
350670,BOA ESPERANCA DO SUL,Cap 06,1.0
